model,layer,wasserstein_h1
bert-base-uncased,1,0.5318272498728827
bert-base-uncased,2,0.6301208185024153
bert-base-uncased,3,1.1323960190931837
bert-base-uncased,4,13.078635762974098
bert-base-uncased,5,18.997247412281162
bert-base-uncased,6,14.42838606551707
bert-base-uncased,7,6.373937040801673
bert-base-uncased,8,4.5784043729926776
bert-base-uncased,9,3.2359542942226156
bert-base-uncased,10,5.397034902003723
bert-base-uncased,11,3.8245506345202003
bert-base-uncased,12,2.6460472151575645
roberta-base,1,0.20792884858615124
roberta-base,2,0.08019681197085082
roberta-base,3,0.07113237742280681
roberta-base,4,0.0941535837981582
roberta-base,5,0.14382448256647457
roberta-base,6,0.12656893225983218
roberta-base,7,0.11167654857374162
roberta-base,8,0.37997136642902923
roberta-base,9,0.2775688844375166
roberta-base,10,0.21474131810672775
roberta-base,11,0.3096827511017963
roberta-base,12,0.6861109286243738
