model,base_family,variant,layer,k,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,cumulative_variance
bert-base-uncased,bert,base,5,2,0.7499999999999999,0.05103103630798288,0.6875,0.04419417382415922,0.2629549503326416
bert-base-uncased,bert,base,5,5,0.7583333333333334,0.05432668671002206,0.6875,0.04941058844013093,0.486846387386322
bert-base-uncased,bert,base,5,10,0.9333333333333332,0.06319062870042959,0.91875,0.07843687748756958,0.7036243677139282
bert-base-uncased,bert,base,5,20,1.0,0.0,1.0,0.0,0.9168465733528137
bert-base-uncased,bert,base,5,50,1.0,0.0,1.0,0.0,0.9905256032943726
textattack-bert-base-MNLI,bert,fine_tuned,5,2,0.7249999999999999,0.06319062870042959,0.625,0.08838834764831845,0.240204855799675
textattack-bert-base-MNLI,bert,fine_tuned,5,5,0.7833333333333333,0.11931517552730293,0.725,0.12960275845829825,0.4802105128765106
textattack-bert-base-MNLI,bert,fine_tuned,5,10,0.7666666666666666,0.05590169943749474,0.725,0.06011057519272295,0.7117143273353577
textattack-bert-base-MNLI,bert,fine_tuned,5,20,0.8666666666666666,0.03486083443891978,0.8375,0.055901699437494734,0.9298688769340515
textattack-bert-base-MNLI,bert,fine_tuned,5,50,1.0,0.0,1.0,0.0,0.9927997589111328
roberta-base,roberta,base,12,2,0.6666666666666666,0.0,0.5,0.0,0.27593761682510376
roberta-base,roberta,base,12,5,0.6666666666666666,0.0,0.5,0.0,0.4809466004371643
roberta-base,roberta,base,12,10,0.6666666666666666,0.0,0.5,0.0,0.7048565149307251
roberta-base,roberta,base,12,20,0.6833333333333333,0.02282177322938196,0.525,0.03423265984407289,0.9208319187164307
roberta-base,roberta,base,12,50,0.6916666666666667,0.02282177322938196,0.5375,0.03423265984407288,0.9905580878257751
textattack-roberta-base-CoLA,roberta,fine_tuned,12,2,0.7416666666666667,0.08539125638299669,0.66875,0.10504835196232257,0.6010928153991699
textattack-roberta-base-CoLA,roberta,fine_tuned,12,5,0.8166666666666667,0.03726779962499652,0.74375,0.06011057519272295,0.7320134043693542
textattack-roberta-base-CoLA,roberta,fine_tuned,12,10,0.8333333333333333,0.05103103630798288,0.75,0.07654655446197431,0.851097822189331
textattack-roberta-base-CoLA,roberta,fine_tuned,12,20,0.7833333333333333,0.06180165405913051,0.7125,0.08385254915624211,0.9603987336158752
textattack-roberta-base-CoLA,roberta,fine_tuned,12,50,0.8833333333333334,0.05432668671002207,0.825,0.08149003006503312,0.9964548945426941
